ID,Session,MLTD,TotalTokens,MeanClauseLength,AvgDepLength,DepTypeEntropy,NominalDensity,NPComplexity,VPComplexity,MeanNPLength,PPDensity,Condition.x,Variety,Topic
GPT4.1_107,2nd,242.4362465,597,8.528571429,3.133099825,3.054041458,0.502512563,0.220472441,12.53246753,1.480314961,2.461538462,GPT,UK,technology
GPT4.1_107,3rd,209.9102568,639,7.517647059,3.052805281,3.112236732,0.625978091,0.201298701,10.28409091,1.506493506,1.636363636,GPT,UK,dream
GPT4.1_107,1st,195.8068327,618,7.536585366,3.066101695,3.078131423,1.941747573,0.202453988,11.68604651,1.466257669,2.25,GPT,UK,stereotype
GPT4.1_108,3rd,228.4864816,585,6.802325581,3.123434705,3.119073643,2.222222222,0.170068027,10.83516484,1.557823129,2,GPT,UK,dream
GPT4.1_108,2nd,201.1055811,647,7.987654321,3.1197411,3.116628019,0.772797527,0.212903226,11.45977011,1.632258065,2.103448276,GPT,UK,technology
GPT4.1_108,1st,196.2923914,638,7.505882353,3.174836601,3.111474664,1.724137931,0.233128834,12.29069767,1.588957055,2.423076923,GPT,UK,stereotype
GPT4.1_109,3rd,219.614957,640,7.619047619,3.481907895,3.078209151,0.78125,0.185430464,10.2755102,1.523178808,1.59375,GPT,US,dream
GPT4.1_109,1st,202.37691,589,7.271604938,3.275800712,3.027630272,1.018675722,0.210191083,10.79746835,1.484076433,2.037037037,GPT,US,stereotype
GPT4.1_109,2nd,197.6571533,599,8.557142857,3.109947644,3.047770094,1.001669449,0.211267606,11.50588235,1.626760563,2.538461538,GPT,US,technology
GPT4.1_11,1st,214.3630192,634,8.025316456,3.391447368,3.108796546,0.630914826,0.263888889,12.15189873,1.645833333,2.076923077,GPT,AUS,dream
GPT4.1_11,3rd,199.6666667,668,8.24691358,3.396875,3.081011886,0.598802395,0.228395062,11.11827957,1.598765432,2.642857143,GPT,AUS,technology
GPT4.1_11,2nd,192.7818319,616,8.213333333,3.06132879,3.063325751,0.974025974,0.216049383,11.67532468,1.512345679,2.448275862,GPT,AUS,stereotype
GPT4.1_110,2nd,269.2924302,598,7.475,3.153439153,3.048065157,0.836120401,0.297709924,14.22368421,1.664122137,2,GPT,US,technology
GPT4.1_110,3rd,222.4226969,602,7,3.426086957,3.099661585,1.328903654,0.205479452,9.540229885,1.48630137,1.666666667,GPT,US,dream
GPT4.1_110,1st,175.3444955,631,7.170454545,3.334983498,3.077937027,1.584786054,0.175438596,12.54545455,1.444444444,2.04,GPT,US,stereotype
GPT4.1_111,1st,210.1676876,634,7.827160494,2.995024876,3.015182014,0.788643533,0.185185185,10.82926829,1.487654321,1.838709677,GPT,US,stereotype
GPT4.1_111,2nd,207.5523015,626,7.825,3.369565217,3.152025611,0.638977636,0.234482759,11.74444444,1.627586207,2.321428571,GPT,US,technology
GPT4.1_111,3rd,204.2152414,586,7.234567901,3.293165468,3.089319375,1.194539249,0.183823529,10.6,1.551470588,1.966666667,GPT,US,dream
GPT4.1_112,3rd,272.2563749,581,7.2625,3.339892665,3.13596896,1.204819277,0.246575342,11.36585366,1.616438356,2.136363636,GPT,US,dream
GPT4.1_112,2nd,235.0626595,662,7.355555556,3.207278481,3.144511639,0.604229607,0.203821656,11.58823529,1.477707006,2.3,GPT,US,technology
GPT4.1_112,1st,218.8576143,598,7.475,3.082601054,3.059249454,1.672240803,0.211180124,10.96296296,1.552795031,1.896551724,GPT,US,stereotype
GPT4.1_113,2nd,265,598,8.081081081,3.435626102,3.073625909,1.003344482,0.255319149,11.39240506,1.539007092,2.032258065,GPT,US,technology
GPT4.1_113,1st,204.5845258,618,7.62962963,3.229202037,3.068108817,0.809061489,0.266233766,12.78481013,1.636363636,1.75862069,GPT,US,stereotype
GPT4.1_113,3rd,199.808872,575,6.609195402,2.95412844,3.07452549,1.217391304,0.269503546,10.14583333,1.539007092,1.5,GPT,US,dream
GPT4.1_114,3rd,209.3599272,630,8.289473684,3.034825871,3.055160796,1.428571429,0.180124224,10.50588235,1.559006211,2.333333333,GPT,US,dream
GPT4.1_114,1st,203.2644231,572,7.626666667,3.812727273,3.069750589,2.097902098,0.226666667,13.02380952,1.62,2.363636364,GPT,US,stereotype
GPT4.1_114,2nd,189.1684397,629,7.765432099,3.137353434,3.077884276,1.430842607,0.205479452,12.76,1.582191781,2.03125,GPT,US,technology
GPT4.1_115,2nd,250.1714505,625,8.333333333,3.119127517,3.074395479,0.96,0.330882353,11.55172414,1.698529412,2.275862069,GPT,US,technology
GPT4.1_115,1st,197.1155303,568,6.604651163,2.963099631,3.13012839,1.408450704,0.222972973,12.3875,1.554054054,1.923076923,GPT,US,stereotype
GPT4.1_115,3rd,179.907775,612,7.11627907,3.096385542,3.090347783,1.470588235,0.155555556,11.08421053,1.444444444,1.903225806,GPT,US,dream
GPT4.1_116,2nd,238.214441,601,7.607594937,3.221441125,3.059659158,0.998336106,0.222222222,11.42045455,1.527777778,2.0625,GPT,US,technology
GPT4.1_116,3rd,226.5507062,586,7.146341463,3.180357143,3.137490772,0.511945392,0.296296296,10.97468354,1.622222222,2,GPT,US,dream
GPT4.1_116,1st,212.2650561,603,8.148648649,3.194107452,3.082336496,2.32172471,0.241830065,12.44578313,1.607843137,2.307692308,GPT,US,stereotype
GPT4.1_117,2nd,261.2115385,644,7.950617284,3.246732026,3.060427318,0.621118012,0.287581699,13.44047619,1.568627451,2.125,GPT,US,technology
