,Condition,Variety,Type,Frequency
2070,Phr,NZ,High,17
2071,Phr,NZ,Mid,5
2072,Phr,NZ,Low,1
2073,Nat,NZ,High,24
2074,Nat,NZ,Mid,3
2075,Nat,NZ,Low,15
2076,Phr,NZ,High,17
2077,Phr,NZ,Mid,7
2078,Phr,NZ,Low,3
2079,Nat,NZ,High,14
2080,Nat,NZ,Mid,9
2081,Nat,NZ,Low,7
2082,Phr,CAN,High,17
2083,Phr,CAN,Mid,8
2084,Phr,CAN,Low,9
2085,Nat,CAN,High,9
2086,Nat,CAN,Mid,8
2087,Nat,CAN,Low,4
2088,Sty,CAN,High,19
2089,Sty,CAN,Mid,7
2090,Sty,CAN,Low,3
2091,Nat,CAN,High,16
2092,Nat,CAN,Mid,2
2093,Nat,CAN,Low,3
2097,Par,NZ,High,18
2098,Par,NZ,Mid,11
2099,Par,NZ,Low,4
2100,Nat,NZ,High,23
2101,Nat,NZ,Mid,15
2102,Nat,NZ,Low,3
2103,Sty,AUS,High,5
2104,Sty,AUS,Mid,3
2105,Sty,AUS,Low,1
2106,Nat,AUS,High,5
2107,Nat,AUS,Mid,5
2108,Nat,AUS,Low,4
2109,Sty,AUS,High,15
2110,Sty,AUS,Mid,3
2111,Sty,AUS,Low,3
2112,Nat,AUS,High,21
2113,Nat,AUS,Mid,2
2114,Nat,AUS,Low,0
2115,Phr,AUS,High,12
2116,Phr,AUS,Mid,3
2117,Phr,AUS,Low,1
2118,Nat,AUS,High,11
2119,Nat,AUS,Mid,4
2120,Nat,AUS,Low,6
2121,Nat,US,High,25
2122,Nat,US,Mid,9
2123,Nat,US,Low,7
2127,Par,NZ,High,19
2128,Par,NZ,Mid,7
2129,Par,NZ,Low,2
2130,Nat,NZ,High,7
2131,Nat,NZ,Mid,5
2132,Nat,NZ,Low,6
2133,Par,AUS,High,19
2134,Par,AUS,Mid,19
2135,Par,AUS,Low,7
2136,Nat,AUS,High,14
2137,Nat,AUS,Mid,11
2138,Nat,AUS,Low,4
2139,Sty,CAN,High,8
2140,Sty,CAN,Mid,1
2141,Sty,CAN,Low,4
2142,Nat,CAN,High,13
2143,Nat,CAN,Mid,4
2144,Nat,CAN,Low,3
2145,Sty,NZ,High,20
2146,Sty,NZ,Mid,15
2147,Sty,NZ,Low,1
2148,Nat,NZ,High,12
2149,Nat,NZ,Mid,8
2150,Nat,NZ,Low,4
2151,Par,NZ,High,9
2152,Par,NZ,Mid,5
2153,Par,NZ,Low,3
2154,Nat,NZ,High,8
2155,Nat,NZ,Mid,6
2156,Nat,NZ,Low,1
2157,Sty,NZ,High,10
2158,Sty,NZ,Mid,4
2159,Sty,NZ,Low,3
2160,Nat,NZ,High,13
2161,Nat,NZ,Mid,4
2162,Nat,NZ,Low,9
2163,Par,AUS,High,13
2164,Par,AUS,Mid,5
2165,Par,AUS,Low,6
2166,Nat,AUS,High,17
2167,Nat,AUS,Mid,7
2168,Nat,AUS,Low,3
2169,Nat,US,High,27
2170,Nat,US,Mid,8
2171,Nat,US,Low,10
2172,Sty,US,High,13
2173,Sty,US,Mid,3
2174,Sty,US,Low,0
2175,Nat,US,High,8
2176,Nat,US,Mid,4
2177,Nat,US,Low,4
2181,Par,US,High,11
2182,Par,US,Mid,9
2183,Par,US,Low,4
2184,Nat,US,High,9
2185,Nat,US,Mid,5
2186,Nat,US,Low,3
2187,Nat,NZ,High,14
2188,Nat,NZ,Mid,7
2189,Nat,NZ,Low,5
2190,Sty,NZ,High,6
2191,Sty,NZ,Mid,5
2192,Sty,NZ,Low,7
2193,Nat,NZ,High,5
2194,Nat,NZ,Mid,10
2195,Nat,NZ,Low,1
2196,Sty,AUS,High,10
2197,Sty,AUS,Mid,10
2198,Sty,AUS,Low,9
2199,Nat,AUS,High,16
2200,Nat,AUS,Mid,9
2201,Nat,AUS,Low,5
2202,Phr,AUS,High,10
2203,Phr,AUS,Mid,4
2204,Phr,AUS,Low,9
2205,Nat,AUS,High,15
2206,Nat,AUS,Mid,9
2207,Nat,AUS,Low,0
2211,Par,AUS,High,8
2212,Par,AUS,Mid,18
2213,Par,AUS,Low,3
2214,Nat,AUS,High,15
2215,Nat,AUS,Mid,11
2216,Nat,AUS,Low,0
2217,Phr,AUS,High,11
2218,Phr,AUS,Mid,5
2219,Phr,AUS,Low,1
2220,Nat,AUS,High,13
2221,Nat,AUS,Mid,3
2222,Nat,AUS,Low,3
2223,Sty,AUS,High,23
2224,Sty,AUS,Mid,8
2225,Sty,AUS,Low,6
2226,Nat,AUS,High,11
2227,Nat,AUS,Mid,4
2228,Nat,AUS,Low,2
2229,Phr,AUS,High,7
2230,Phr,AUS,Mid,3
2231,Phr,AUS,Low,3
2232,Nat,AUS,High,13
2233,Nat,AUS,Mid,8
2234,Nat,AUS,Low,2
2235,Nat,NZ,High,29
2236,Nat,NZ,Mid,18
2237,Nat,NZ,Low,9
2238,Nat,AUS,High,21
2239,Nat,AUS,Mid,11
2240,Nat,AUS,Low,7
2241,Phr,NZ,High,17
2242,Phr,NZ,Mid,6
2243,Phr,NZ,Low,5
2244,Nat,NZ,High,9
2245,Nat,NZ,Mid,8
2246,Nat,NZ,Low,0
2247,Sty,NZ,High,15
2248,Sty,NZ,Mid,13
2249,Sty,NZ,Low,6
2250,Nat,NZ,High,10
2251,Nat,NZ,Mid,2
2252,Nat,NZ,Low,2
2253,Phr,AUS,High,10
2254,Phr,AUS,Mid,2
2255,Phr,AUS,Low,1
2256,Nat,AUS,High,8
2257,Nat,AUS,Mid,3
2258,Nat,AUS,Low,3
2259,Par,NZ,High,11
2260,Par,NZ,Mid,9
2261,Par,NZ,Low,0
2262,Nat,NZ,High,3
2263,Nat,NZ,Mid,2
2264,Nat,NZ,Low,2
2265,Sty,AUS,High,16
2266,Sty,AUS,Mid,7
2267,Sty,AUS,Low,4
2268,Nat,AUS,High,18
2269,Nat,AUS,Mid,8
2270,Nat,AUS,Low,6
2271,Sty,UK,High,14
2272,Sty,UK,Mid,6
2273,Sty,UK,Low,4
2274,Nat,UK,High,23
2275,Nat,UK,Mid,8
2276,Nat,UK,Low,2
2277,Phr,CAN,High,17
2278,Phr,CAN,Mid,8
2279,Phr,CAN,Low,2
2280,Nat,CAN,High,9
2281,Nat,CAN,Mid,5
2282,Nat,CAN,Low,3
2286,Par,AUS,High,16
2287,Par,AUS,Mid,13
2288,Par,AUS,Low,2
2289,Nat,AUS,High,12
2290,Nat,AUS,Mid,8
2291,Nat,AUS,Low,3
2292,Phr,AUS,High,21
2293,Phr,AUS,Mid,3
2294,Phr,AUS,Low,2
2295,Nat,AUS,High,10
2296,Nat,AUS,Mid,7
2297,Nat,AUS,Low,0
2298,Phr,NZ,High,16
2299,Phr,NZ,Mid,7
2300,Phr,NZ,Low,1
2301,Nat,NZ,High,23
2302,Nat,NZ,Mid,7
2303,Nat,NZ,Low,2
2304,Sty,AUS,High,17
2305,Sty,AUS,Mid,3
2306,Sty,AUS,Low,1
2307,Nat,AUS,High,17
2308,Nat,AUS,Mid,4
2309,Nat,AUS,Low,3
2310,Nat,US,High,16
2311,Nat,US,Mid,11
2312,Nat,US,Low,4
2313,Phr,AUS,High,18
2314,Phr,AUS,Mid,5
2315,Phr,AUS,Low,1
2316,Nat,AUS,High,8
2317,Nat,AUS,Mid,3
2318,Nat,AUS,Low,3
2319,Sty,AUS,High,22
2320,Sty,AUS,Mid,7
2321,Sty,AUS,Low,2
2322,Nat,AUS,High,17
2323,Nat,AUS,Mid,4
2324,Nat,AUS,Low,3
2325,Phr,UK,High,11
2326,Phr,UK,Mid,4
2327,Phr,UK,Low,4
2328,Nat,UK,High,6
2329,Nat,UK,Mid,2
2330,Nat,UK,Low,0
2331,Phr,AUS,High,20
2332,Phr,AUS,Mid,6
2333,Phr,AUS,Low,4
2334,Nat,AUS,High,14
2335,Nat,AUS,Mid,8
2336,Nat,AUS,Low,1
2340,Par,CAN,High,12
2341,Par,CAN,Mid,6
2342,Par,CAN,Low,4
2343,Nat,CAN,High,14
2344,Nat,CAN,Mid,8
2345,Nat,CAN,Low,2
2349,Par,NZ,High,13
2350,Par,NZ,Mid,15
2351,Par,NZ,Low,3
2352,Nat,NZ,High,16
2353,Nat,NZ,Mid,7
2354,Nat,NZ,Low,8
2355,Phr,NZ,High,19
2356,Phr,NZ,Mid,10
2357,Phr,NZ,Low,1
2358,Nat,NZ,High,25
2359,Nat,NZ,Mid,8
2360,Nat,NZ,Low,1
2361,Phr,US,High,13
2362,Phr,US,Mid,14
2363,Phr,US,Low,3
2364,Nat,US,High,12
2365,Nat,US,Mid,3
2366,Nat,US,Low,2
2367,Phr,CAN,High,12
2368,Phr,CAN,Mid,9
2369,Phr,CAN,Low,4
2370,Nat,CAN,High,18
2371,Nat,CAN,Mid,8
2372,Nat,CAN,Low,7
2376,Par,NZ,High,20
2377,Par,NZ,Mid,7
2378,Par,NZ,Low,2
2379,Nat,NZ,High,9
2380,Nat,NZ,Mid,4
2381,Nat,NZ,Low,1
2382,Sty,NZ,High,17
2383,Sty,NZ,Mid,12
2384,Sty,NZ,Low,2
2385,Nat,NZ,High,17
2386,Nat,NZ,Mid,5
2387,Nat,NZ,Low,3
2388,Sty,AUS,High,10
2389,Sty,AUS,Mid,4
2390,Sty,AUS,Low,2
2391,Nat,AUS,High,15
2392,Nat,AUS,Mid,7
2393,Nat,AUS,Low,8
2394,Phr,CAN,High,13
2395,Phr,CAN,Mid,10
2396,Phr,CAN,Low,6
2397,Nat,CAN,High,21
2398,Nat,CAN,Mid,12
2399,Nat,CAN,Low,1
2400,Phr,CAN,High,14
2401,Phr,CAN,Mid,7
2402,Phr,CAN,Low,3
2403,Nat,CAN,High,11
2404,Nat,CAN,Mid,10
2405,Nat,CAN,Low,4
2406,Sty,NZ,High,15
2407,Sty,NZ,Mid,4
2408,Sty,NZ,Low,5
2409,Nat,NZ,High,7
2410,Nat,NZ,Mid,1
2411,Nat,NZ,Low,1
2412,Phr,CAN,High,26
2413,Phr,CAN,Mid,7
2414,Phr,CAN,Low,2
2415,Nat,CAN,High,14
2416,Nat,CAN,Mid,12
2417,Nat,CAN,Low,2
2418,Sty,UK,High,14
2419,Sty,UK,Mid,11
2420,Sty,UK,Low,10
2421,Nat,UK,High,14
2422,Nat,UK,Mid,4
2423,Nat,UK,Low,0
2424,Nat,US,High,25
2425,Nat,US,Mid,24
2426,Nat,US,Low,9
2427,Nat,CAN,High,30
2428,Nat,CAN,Mid,18
2429,Nat,CAN,Low,11
2430,Sty,AUS,High,16
2431,Sty,AUS,Mid,7
2432,Sty,AUS,Low,4
2433,Nat,AUS,High,17
2434,Nat,AUS,Mid,2
2435,Nat,AUS,Low,1
2436,Phr,US,High,22
2437,Phr,US,Mid,13
2438,Phr,US,Low,1
2439,Nat,US,High,6
2440,Nat,US,Mid,10
2441,Nat,US,Low,6
2445,Par,NZ,High,11
2446,Par,NZ,Mid,8
2447,Par,NZ,Low,1
2448,Nat,NZ,High,9
2449,Nat,NZ,Mid,2
2450,Nat,NZ,Low,1
2451,Nat,NZ,High,16
2452,Nat,NZ,Mid,15
2453,Nat,NZ,Low,5
2457,Par,NZ,High,10
2458,Par,NZ,Mid,9
2459,Par,NZ,Low,5
2460,Nat,NZ,High,8
2461,Nat,NZ,Mid,7
2462,Nat,NZ,Low,4
2463,Par,US,High,20
2464,Par,US,Mid,8
2465,Par,US,Low,2
2466,Nat,US,High,13
2467,Nat,US,Mid,4
2468,Nat,US,Low,3
2469,Par,US,High,19
2470,Par,US,Mid,6
2471,Par,US,Low,5
2472,Nat,US,High,16
2473,Nat,US,Mid,7
2474,Nat,US,Low,5
2478,Par,UK,High,13
2479,Par,UK,Mid,17
2480,Par,UK,Low,7
2481,Nat,UK,High,16
2482,Nat,UK,Mid,7
2483,Nat,UK,Low,2
2484,Par,AUS,High,11
2485,Par,AUS,Mid,6
2486,Par,AUS,Low,3
2487,Nat,AUS,High,19
2488,Nat,AUS,Mid,9
2489,Nat,AUS,Low,1
2493,Par,AUS,High,30
2494,Par,AUS,Mid,6
2495,Par,AUS,Low,4
2496,Nat,AUS,High,13
2497,Nat,AUS,Mid,6
2498,Nat,AUS,Low,7
2502,Par,NZ,High,16
2503,Par,NZ,Mid,8
2504,Par,NZ,Low,8
2505,Nat,NZ,High,17
2506,Nat,NZ,Mid,9
2507,Nat,NZ,Low,2
2508,Nat,CAN,High,23
2509,Nat,CAN,Mid,20
2510,Nat,CAN,Low,6
2514,Par,UK,High,10
2515,Par,UK,Mid,2
2516,Par,UK,Low,6
2517,Nat,UK,High,15
2518,Nat,UK,Mid,7
2519,Nat,UK,Low,1
2520,Phr,UK,High,13
2521,Phr,UK,Mid,4
2522,Phr,UK,Low,1
2523,Nat,UK,High,6
2524,Nat,UK,Mid,9
2525,Nat,UK,Low,9
2526,Nat,US,High,22
2527,Nat,US,Mid,9
2528,Nat,US,Low,8
2529,Nat,CAN,High,26
2530,Nat,CAN,Mid,8
2531,Nat,CAN,Low,3
2532,Par,AUS,High,22
2533,Par,AUS,Mid,6
2534,Par,AUS,Low,3
2535,Nat,AUS,High,16
2536,Nat,AUS,Mid,9
2537,Nat,AUS,Low,4
2538,Sty,US,High,14
2539,Sty,US,Mid,7
2540,Sty,US,Low,1
2541,Nat,US,High,11
2542,Nat,US,Mid,3
2543,Nat,US,Low,2
2544,Sty,CAN,High,14
2545,Sty,CAN,Mid,6
2546,Sty,CAN,Low,1
2547,Nat,CAN,High,14
2548,Nat,CAN,Mid,4
2549,Nat,CAN,Low,1
2550,Sty,CAN,High,14
2551,Sty,CAN,Mid,20
2552,Sty,CAN,Low,1
2553,Nat,CAN,High,14
2554,Nat,CAN,Mid,13
2555,Nat,CAN,Low,3
2559,Par,US,High,17
2560,Par,US,Mid,5
2561,Par,US,Low,1
2562,Nat,US,High,9
2563,Nat,US,Mid,0
2564,Nat,US,Low,3
2565,Nat,NZ,High,39
2566,Nat,NZ,Mid,18
2567,Nat,NZ,Low,3
2568,Sty,NZ,High,11
2569,Sty,NZ,Mid,3
2570,Sty,NZ,Low,2
2571,Nat,NZ,High,16
2572,Nat,NZ,Mid,5
2573,Nat,NZ,Low,3
2574,Sty,CAN,High,13
2575,Sty,CAN,Mid,3
2576,Sty,CAN,Low,1
2577,Nat,CAN,High,10
2578,Nat,CAN,Mid,4
2579,Nat,CAN,Low,1
2580,Phr,AUS,High,6
2581,Phr,AUS,Mid,7
2582,Phr,AUS,Low,2
2583,Nat,AUS,High,10
2584,Nat,AUS,Mid,6
2585,Nat,AUS,Low,4
2586,Nat,AUS,High,23
2587,Nat,AUS,Mid,7
2588,Nat,AUS,Low,5
2592,Par,UK,High,13
2593,Par,UK,Mid,11
2594,Par,UK,Low,5
2595,Nat,UK,High,10
2596,Nat,UK,Mid,1
2597,Nat,UK,Low,2
2598,Sty,US,High,5
2599,Sty,US,Mid,5
2600,Sty,US,Low,1
2601,Nat,US,High,12
2602,Nat,US,Mid,6
2603,Nat,US,Low,6
2604,Phr,CAN,High,6
2605,Phr,CAN,Mid,5
2606,Phr,CAN,Low,5
2607,Nat,CAN,High,17
2608,Nat,CAN,Mid,11
2609,Nat,CAN,Low,3
2610,Sty,CAN,High,16
2611,Sty,CAN,Mid,8
2612,Sty,CAN,Low,2
2613,Nat,CAN,High,7
2614,Nat,CAN,Mid,5
2615,Nat,CAN,Low,2
2616,Sty,CAN,High,11
2617,Sty,CAN,Mid,5
2618,Sty,CAN,Low,0
2619,Nat,CAN,High,13
2620,Nat,CAN,Mid,8
2621,Nat,CAN,Low,3
2625,Par,NZ,High,15
2626,Par,NZ,Mid,6
2627,Par,NZ,Low,1
2628,Nat,NZ,High,9
2629,Nat,NZ,Mid,13
2630,Nat,NZ,Low,4
2634,Par,NZ,High,17
2635,Par,NZ,Mid,13
2636,Par,NZ,Low,1
2637,Nat,NZ,High,13
2638,Nat,NZ,Mid,13
2639,Nat,NZ,Low,3
2640,Phr,UK,High,14
2641,Phr,UK,Mid,7
2642,Phr,UK,Low,3
2643,Nat,UK,High,19
2644,Nat,UK,Mid,10
2645,Nat,UK,Low,6
2646,Sty,UK,High,12
2647,Sty,UK,Mid,5
2648,Sty,UK,Low,1
2649,Nat,UK,High,16
2650,Nat,UK,Mid,7
2651,Nat,UK,Low,2
2655,Par,UK,High,13
2656,Par,UK,Mid,11
2657,Par,UK,Low,2
2658,Nat,UK,High,7
2659,Nat,UK,Mid,13
2660,Nat,UK,Low,1
2661,Sty,UK,High,12
2662,Sty,UK,Mid,10
2663,Sty,UK,Low,1
2664,Nat,UK,High,7
2665,Nat,UK,Mid,5
2666,Nat,UK,Low,7
2667,Phr,CAN,High,16
2668,Phr,CAN,Mid,9
2669,Phr,CAN,Low,6
2670,Nat,CAN,High,15
2671,Nat,CAN,Mid,5
2672,Nat,CAN,Low,4
2673,Sty,UK,High,13
2674,Sty,UK,Mid,6
2675,Sty,UK,Low,0
2676,Nat,UK,High,10
2677,Nat,UK,Mid,1
2678,Nat,UK,Low,3
2682,Par,AUS,High,14
2683,Par,AUS,Mid,7
2684,Par,AUS,Low,4
2685,Nat,AUS,High,15
2686,Nat,AUS,Mid,11
2687,Nat,AUS,Low,5
2691,Par,US,High,25
2692,Par,US,Mid,15
2693,Par,US,Low,1
2694,Nat,US,High,18
2695,Nat,US,Mid,13
2696,Nat,US,Low,6
2697,Phr,UK,High,11
2698,Phr,UK,Mid,9
2699,Phr,UK,Low,0
2700,Nat,UK,High,13
2701,Nat,UK,Mid,6
2702,Nat,UK,Low,3
2703,Par,AUS,High,49
2704,Par,AUS,Mid,30
2705,Par,AUS,Low,24
2706,Nat,AUS,High,9
2707,Nat,AUS,Mid,11
2708,Nat,AUS,Low,6
2712,Par,UK,High,15
2713,Par,UK,Mid,6
2714,Par,UK,Low,5
2715,Nat,UK,High,12
2716,Nat,UK,Mid,5
2717,Nat,UK,Low,3
2718,Sty,CAN,High,5
2719,Sty,CAN,Mid,16
2720,Sty,CAN,Low,1
2721,Nat,CAN,High,15
2722,Nat,CAN,Mid,2
2723,Nat,CAN,Low,6
2727,Par,UK,High,24
2728,Par,UK,Mid,21
2729,Par,UK,Low,9
2730,Nat,UK,High,22
2731,Nat,UK,Mid,12
2732,Nat,UK,Low,7
2733,Sty,AUS,High,9
2734,Sty,AUS,Mid,4
2735,Sty,AUS,Low,0
2736,Nat,AUS,High,11
2737,Nat,AUS,Mid,1
2738,Nat,AUS,Low,2
2739,Phr,CAN,High,14
2740,Phr,CAN,Mid,7
2741,Phr,CAN,Low,1
2742,Nat,CAN,High,7
2743,Nat,CAN,Mid,7
2744,Nat,CAN,Low,3
2748,Par,US,High,8
2749,Par,US,Mid,3
2750,Par,US,Low,5
2751,Nat,US,High,18
2752,Nat,US,Mid,7
2753,Nat,US,Low,2
2754,Phr,AUS,High,9
2755,Phr,AUS,Mid,9
2756,Phr,AUS,Low,1
2757,Nat,AUS,High,8
2758,Nat,AUS,Mid,8
2759,Nat,AUS,Low,6
2760,Nat,US,High,36
2761,Nat,US,Mid,16
2762,Nat,US,Low,8
2763,Par,AUS,High,13
2764,Par,AUS,Mid,13
2765,Par,AUS,Low,2
2766,Nat,AUS,High,7
2767,Nat,AUS,Mid,5
2768,Nat,AUS,Low,3
2772,Par,NZ,High,27
2773,Par,NZ,Mid,2
2774,Par,NZ,Low,3
2775,Nat,NZ,High,14
2776,Nat,NZ,Mid,6
2777,Nat,NZ,Low,4
2778,Sty,US,High,3
2779,Sty,US,Mid,3
2780,Sty,US,Low,1
2781,Nat,US,High,9
2782,Nat,US,Mid,8
2783,Nat,US,Low,1
2784,Par,US,High,11
2785,Par,US,Mid,9
2786,Par,US,Low,1
2787,Nat,US,High,4
2788,Nat,US,Mid,3
2789,Nat,US,Low,3
2790,Par,CAN,High,14
2791,Par,CAN,Mid,16
2792,Par,CAN,Low,4
2793,Nat,CAN,High,11
2794,Nat,CAN,Mid,4
2795,Nat,CAN,Low,2
2796,Phr,AUS,High,7
2797,Phr,AUS,Mid,4
2798,Phr,AUS,Low,2
2799,Nat,AUS,High,6
2800,Nat,AUS,Mid,5
2801,Nat,AUS,Low,5
2802,Nat,CAN,High,22
2803,Nat,CAN,Mid,10
2804,Nat,CAN,Low,5
2805,Nat,AUS,High,33
2806,Nat,AUS,Mid,12
2807,Nat,AUS,Low,6
2808,Sty,NZ,High,16
2809,Sty,NZ,Mid,11
2810,Sty,NZ,Low,2
2811,Nat,NZ,High,10
2812,Nat,NZ,Mid,6
2813,Nat,NZ,Low,0
2814,Par,AUS,High,29
2815,Par,AUS,Mid,8
2816,Par,AUS,Low,1
2817,Nat,AUS,High,5
2818,Nat,AUS,Mid,6
2819,Nat,AUS,Low,7
2820,Phr,AUS,High,11
2821,Phr,AUS,Mid,6
2822,Phr,AUS,Low,3
2823,Nat,AUS,High,20
2824,Nat,AUS,Mid,6
2825,Nat,AUS,Low,7
2826,Phr,UK,High,15
2827,Phr,UK,Mid,9
2828,Phr,UK,Low,2
2829,Nat,UK,High,9
2830,Nat,UK,Mid,3
2831,Nat,UK,Low,0
2832,Phr,US,High,12
2833,Phr,US,Mid,5
2834,Phr,US,Low,3
2835,Nat,US,High,9
2836,Nat,US,Mid,12
2837,Nat,US,Low,1
2838,Phr,CAN,High,21
2839,Phr,CAN,Mid,11
2840,Phr,CAN,Low,5
2841,Nat,CAN,High,9
2842,Nat,CAN,Mid,8
2843,Nat,CAN,Low,2
2844,Phr,CAN,High,13
2845,Phr,CAN,Mid,12
2846,Phr,CAN,Low,2
2847,Nat,CAN,High,14
2848,Nat,CAN,Mid,11
2849,Nat,CAN,Low,3
2850,Phr,US,High,14
2851,Phr,US,Mid,6
2852,Phr,US,Low,2
2853,Nat,US,High,12
2854,Nat,US,Mid,4
2855,Nat,US,Low,8
2856,Phr,AUS,High,17
2857,Phr,AUS,Mid,8
2858,Phr,AUS,Low,10
2859,Nat,AUS,High,3
2860,Nat,AUS,Mid,6
2861,Nat,AUS,Low,2
2862,Sty,CAN,High,24
2863,Sty,CAN,Mid,7
2864,Sty,CAN,Low,3
2865,Nat,CAN,High,8
2866,Nat,CAN,Mid,7
2867,Nat,CAN,Low,1
2868,Sty,CAN,High,20
2869,Sty,CAN,Mid,4
2870,Sty,CAN,Low,2
2871,Nat,CAN,High,9
2872,Nat,CAN,Mid,5
2873,Nat,CAN,Low,1
2874,Sty,UK,High,11
2875,Sty,UK,Mid,1
2876,Sty,UK,Low,9
2877,Nat,UK,High,16
2878,Nat,UK,Mid,8
2879,Nat,UK,Low,1
2880,Sty,UK,High,12
2881,Sty,UK,Mid,7
2882,Sty,UK,Low,8
2883,Nat,UK,High,12
2884,Nat,UK,Mid,11
2885,Nat,UK,Low,3
2889,Par,UK,High,22
2890,Par,UK,Mid,7
2891,Par,UK,Low,0
2892,Nat,UK,High,27
2893,Nat,UK,Mid,10
2894,Nat,UK,Low,5
2895,Par,CAN,High,29
2896,Par,CAN,Mid,10
2897,Par,CAN,Low,2
2898,Nat,CAN,High,28
2899,Nat,CAN,Mid,6
2900,Nat,CAN,Low,2
2901,Nat,NZ,High,23
2902,Nat,NZ,Mid,20
2903,Nat,NZ,Low,5
2904,Par,NZ,High,16
2905,Par,NZ,Mid,5
2906,Par,NZ,Low,0
2907,Nat,NZ,High,7
2908,Nat,NZ,Mid,1
2909,Nat,NZ,Low,2
2910,Sty,UK,High,10
2911,Sty,UK,Mid,7
2912,Sty,UK,Low,2
2913,Nat,UK,High,15
2914,Nat,UK,Mid,6
2915,Nat,UK,Low,1
2916,Phr,AUS,High,2
2917,Phr,AUS,Mid,3
2918,Phr,AUS,Low,0
2919,Nat,AUS,High,11
2920,Nat,AUS,Mid,4
2921,Nat,AUS,Low,1
2922,Phr,US,High,19
2923,Phr,US,Mid,9
2924,Phr,US,Low,4
2925,Nat,US,High,10
2926,Nat,US,Mid,5
2927,Nat,US,Low,6
2928,Sty,NZ,High,9
2929,Sty,NZ,Mid,9
2930,Sty,NZ,Low,6
2931,Nat,NZ,High,18
2932,Nat,NZ,Mid,15
2933,Nat,NZ,Low,4
2934,Phr,AUS,High,12
2935,Phr,AUS,Mid,2
2936,Phr,AUS,Low,2
2937,Nat,AUS,High,5
2938,Nat,AUS,Mid,6
2939,Nat,AUS,Low,6
2943,Par,US,High,12
2944,Par,US,Mid,8
2945,Par,US,Low,2
2946,Nat,US,High,13
2947,Nat,US,Mid,4
2948,Nat,US,Low,1
2949,Sty,AUS,High,7
2950,Sty,AUS,Mid,5
2951,Sty,AUS,Low,2
2952,Nat,AUS,High,10
2953,Nat,AUS,Mid,5
2954,Nat,AUS,Low,2
2955,Nat,CAN,High,38
2956,Nat,CAN,Mid,15
2957,Nat,CAN,Low,5
2958,Nat,CAN,High,26
2959,Nat,CAN,Mid,18
2960,Nat,CAN,Low,9
2961,Phr,AUS,High,11
2962,Phr,AUS,Mid,13
2963,Phr,AUS,Low,3
2964,Nat,AUS,High,14
2965,Nat,AUS,Mid,7
2966,Nat,AUS,Low,2
2967,Phr,UK,High,12
2968,Phr,UK,Mid,6
2969,Phr,UK,Low,6
2970,Nat,UK,High,19
2971,Nat,UK,Mid,13
2972,Nat,UK,Low,1
2976,Par,NZ,High,13
2977,Par,NZ,Mid,10
2978,Par,NZ,Low,3
2979,Nat,NZ,High,9
2980,Nat,NZ,Mid,8
2981,Nat,NZ,Low,3
2982,Sty,AUS,High,20
2983,Sty,AUS,Mid,6
2984,Sty,AUS,Low,0
2985,Nat,AUS,High,25
2986,Nat,AUS,Mid,7
2987,Nat,AUS,Low,3
2991,Par,US,High,20
2992,Par,US,Mid,8
2993,Par,US,Low,1
2994,Nat,US,High,3
2995,Nat,US,Mid,15
2996,Nat,US,Low,1
3000,Par,NZ,High,12
3001,Par,NZ,Mid,8
3002,Par,NZ,Low,0
3003,Nat,NZ,High,16
3004,Nat,NZ,Mid,9
3005,Nat,NZ,Low,4
3006,Phr,CAN,High,19
3007,Phr,CAN,Mid,13
3008,Phr,CAN,Low,3
3009,Nat,CAN,High,10
3010,Nat,CAN,Mid,2
3011,Nat,CAN,Low,3
3012,Phr,CAN,High,15
3013,Phr,CAN,Mid,13
3014,Phr,CAN,Low,2
3015,Nat,CAN,High,15
3016,Nat,CAN,Mid,7
3017,Nat,CAN,Low,3
3018,Sty,CAN,High,14
3019,Sty,CAN,Mid,10
3020,Sty,CAN,Low,0
3021,Nat,CAN,High,11
3022,Nat,CAN,Mid,10
3023,Nat,CAN,Low,1
3024,Par,CAN,High,12
3025,Par,CAN,Mid,24
3026,Par,CAN,Low,7
3027,Nat,CAN,High,17
3028,Nat,CAN,Mid,13
3029,Nat,CAN,Low,6
3030,Par,NZ,High,15
3031,Par,NZ,Mid,14
3032,Par,NZ,Low,2
3033,Nat,NZ,High,9
3034,Nat,NZ,Mid,6
3035,Nat,NZ,Low,3
3039,Par,NZ,High,8
3040,Par,NZ,Mid,9
3041,Par,NZ,Low,4
3042,Nat,NZ,High,16
3043,Nat,NZ,Mid,8
3044,Nat,NZ,Low,4
3045,Nat,CAN,High,30
3046,Nat,CAN,Mid,14
3047,Nat,CAN,Low,10
3048,Sty,US,High,10
3049,Sty,US,Mid,7
3050,Sty,US,Low,8
3051,Nat,US,High,15
3052,Nat,US,Mid,6
3053,Nat,US,Low,1
3054,Nat,AUS,High,19
3055,Nat,AUS,Mid,5
3056,Nat,AUS,Low,3
3057,Sty,CAN,High,8
3058,Sty,CAN,Mid,7
3059,Sty,CAN,Low,0
3060,Nat,CAN,High,9
3061,Nat,CAN,Mid,10
3062,Nat,CAN,Low,2
3063,Sty,NZ,High,21
3064,Sty,NZ,Mid,6
3065,Sty,NZ,Low,4
3066,Nat,NZ,High,10
3067,Nat,NZ,Mid,11
3068,Nat,NZ,Low,4
3069,Phr,US,High,14
