,Condition,Variety,Type,Frequency
530,Nat,UK,Low,1
534,Par,CAN,High,19
535,Par,CAN,Mid,7
536,Par,CAN,Low,4
537,Nat,CAN,High,14
538,Nat,CAN,Mid,5
539,Nat,CAN,Low,9
540,Phr,AUS,High,6
541,Phr,AUS,Mid,12
542,Phr,AUS,Low,5
543,Nat,AUS,High,21
544,Nat,AUS,Mid,9
545,Nat,AUS,Low,1
546,Phr,CAN,High,12
547,Phr,CAN,Mid,10
548,Phr,CAN,Low,4
549,Nat,CAN,High,18
550,Nat,CAN,Mid,18
551,Nat,CAN,Low,2
552,Phr,UK,High,9
553,Phr,UK,Mid,10
554,Phr,UK,Low,4
555,Nat,UK,High,11
556,Nat,UK,Mid,8
557,Nat,UK,Low,1
558,Nat,UK,High,31
559,Nat,UK,Mid,19
560,Nat,UK,Low,4
561,Phr,UK,High,12
562,Phr,UK,Mid,8
563,Phr,UK,Low,0
564,Nat,UK,High,16
565,Nat,UK,Mid,7
566,Nat,UK,Low,2
567,Nat,UK,High,27
568,Nat,UK,Mid,9
569,Nat,UK,Low,12
570,Phr,UK,High,18
571,Phr,UK,Mid,2
572,Phr,UK,Low,2
573,Nat,UK,High,17
574,Nat,UK,Mid,5
575,Nat,UK,Low,3
576,Sty,UK,High,11
577,Sty,UK,Mid,5
578,Sty,UK,Low,2
579,Nat,UK,High,13
580,Nat,UK,Mid,6
581,Nat,UK,Low,1
585,Par,AUS,High,9
586,Par,AUS,Mid,14
587,Par,AUS,Low,5
588,Nat,AUS,High,3
589,Nat,AUS,Mid,1
590,Nat,AUS,Low,7
591,Sty,UK,High,7
592,Sty,UK,Mid,8
593,Sty,UK,Low,2
594,Nat,UK,High,19
595,Nat,UK,Mid,7
596,Nat,UK,Low,6
597,Sty,UK,High,9
598,Sty,UK,Mid,2
599,Sty,UK,Low,1
600,Nat,UK,High,11
601,Nat,UK,Mid,3
602,Nat,UK,Low,5
603,Phr,AUS,High,22
604,Phr,AUS,Mid,10
605,Phr,AUS,Low,7
606,Nat,AUS,High,8
607,Nat,AUS,Mid,6
608,Nat,AUS,Low,0
609,Phr,CAN,High,16
610,Phr,CAN,Mid,11
611,Phr,CAN,Low,3
612,Nat,CAN,High,10
613,Nat,CAN,Mid,4
614,Nat,CAN,Low,1
615,Phr,NZ,High,7
616,Phr,NZ,Mid,1
617,Phr,NZ,Low,3
618,Nat,NZ,High,10
619,Nat,NZ,Mid,2
620,Nat,NZ,Low,3
621,Par,NZ,High,11
622,Par,NZ,Mid,12
623,Par,NZ,Low,1
624,Nat,NZ,High,12
625,Nat,NZ,Mid,7
626,Nat,NZ,Low,2
630,Par,AUS,High,7
631,Par,AUS,Mid,13
632,Par,AUS,Low,4
633,Nat,AUS,High,17
634,Nat,AUS,Mid,8
635,Nat,AUS,Low,5
636,Phr,US,High,3
637,Phr,US,Mid,4
638,Phr,US,Low,3
639,Nat,US,High,12
640,Nat,US,Mid,8
641,Nat,US,Low,0
642,Phr,CAN,High,16
643,Phr,CAN,Mid,6
644,Phr,CAN,Low,4
645,Nat,CAN,High,12
646,Nat,CAN,Mid,4
647,Nat,CAN,Low,1
648,Phr,NZ,High,12
649,Phr,NZ,Mid,4
650,Phr,NZ,Low,1
651,Nat,NZ,High,26
652,Nat,NZ,Mid,10
653,Nat,NZ,Low,2
654,Phr,CAN,High,11
655,Phr,CAN,Mid,6
656,Phr,CAN,Low,7
657,Nat,CAN,High,12
658,Nat,CAN,Mid,12
659,Nat,CAN,Low,2
660,Sty,CAN,High,9
661,Sty,CAN,Mid,8
662,Sty,CAN,Low,2
663,Nat,CAN,High,15
664,Nat,CAN,Mid,4
665,Nat,CAN,Low,2
666,Sty,NZ,High,11
667,Sty,NZ,Mid,12
668,Sty,NZ,Low,1
669,Nat,NZ,High,19
670,Nat,NZ,Mid,5
671,Nat,NZ,Low,4
672,Phr,CAN,High,10
673,Phr,CAN,Mid,4
674,Phr,CAN,Low,4
675,Nat,CAN,High,9
676,Nat,CAN,Mid,8
677,Nat,CAN,Low,2
678,Nat,UK,High,13
679,Nat,UK,Mid,14
680,Nat,UK,Low,2
681,Nat,UK,High,39
682,Nat,UK,Mid,14
683,Nat,UK,Low,9
684,Phr,CAN,High,12
685,Phr,CAN,Mid,10
686,Phr,CAN,Low,1
687,Nat,CAN,High,8
688,Nat,CAN,Mid,9
689,Nat,CAN,Low,2
690,Nat,UK,High,16
691,Nat,UK,Mid,3
692,Nat,UK,Low,1
693,Sty,US,High,19
694,Sty,US,Mid,3
695,Sty,US,Low,2
696,Nat,US,High,12
697,Nat,US,Mid,3
698,Nat,US,Low,8
699,Sty,UK,High,15
700,Sty,UK,Mid,4
701,Sty,UK,Low,0
702,Nat,UK,High,19
703,Nat,UK,Mid,7
704,Nat,UK,Low,2
705,Sty,CAN,High,6
706,Sty,CAN,Mid,8
707,Sty,CAN,Low,2
708,Nat,CAN,High,4
709,Nat,CAN,Mid,11
710,Nat,CAN,Low,3
711,Phr,AUS,High,7
712,Phr,AUS,Mid,4
713,Phr,AUS,Low,8
714,Nat,AUS,High,8
715,Nat,AUS,Mid,4
716,Nat,AUS,Low,4
717,Nat,AUS,High,67
718,Nat,AUS,Mid,19
719,Nat,AUS,Low,14
720,Phr,AUS,High,13
721,Phr,AUS,Mid,11
722,Phr,AUS,Low,0
723,Nat,AUS,High,11
724,Nat,AUS,Mid,5
725,Nat,AUS,Low,2
729,Par,CAN,High,16
730,Par,CAN,Mid,4
731,Par,CAN,Low,0
732,Nat,CAN,High,7
733,Nat,CAN,Mid,1
734,Nat,CAN,Low,6
738,Par,AUS,High,24
739,Par,AUS,Mid,9
740,Par,AUS,Low,4
741,Nat,AUS,High,9
742,Nat,AUS,Mid,4
743,Nat,AUS,Low,1
747,Par,UK,High,22
748,Par,UK,Mid,18
749,Par,UK,Low,13
750,Nat,UK,High,17
751,Nat,UK,Mid,13
752,Nat,UK,Low,3
753,Sty,AUS,High,7
754,Sty,AUS,Mid,9
755,Sty,AUS,Low,5
756,Nat,AUS,High,10
757,Nat,AUS,Mid,26
758,Nat,AUS,Low,4
759,Nat,UK,High,29
760,Nat,UK,Mid,17
761,Nat,UK,Low,5
762,Sty,CAN,High,13
763,Sty,CAN,Mid,10
764,Sty,CAN,Low,9
765,Nat,CAN,High,9
766,Nat,CAN,Mid,3
767,Nat,CAN,Low,1
768,Sty,UK,High,12
769,Sty,UK,Mid,6
770,Sty,UK,Low,1
771,Nat,UK,High,13
772,Nat,UK,Mid,12
773,Nat,UK,Low,4
774,Nat,NZ,High,23
775,Nat,NZ,Mid,12
776,Nat,NZ,Low,4
777,Sty,UK,High,10
778,Sty,UK,Mid,5
779,Sty,UK,Low,4
780,Nat,UK,High,14
781,Nat,UK,Mid,9
782,Nat,UK,Low,1
786,Par,US,High,12
787,Par,US,Mid,9
788,Par,US,Low,4
789,Nat,US,High,14
790,Nat,US,Mid,4
791,Nat,US,Low,2
792,Phr,AUS,High,9
793,Phr,AUS,Mid,2
794,Phr,AUS,Low,2
795,Nat,AUS,High,16
796,Nat,AUS,Mid,8
797,Nat,AUS,Low,3
798,Nat,NZ,High,20
799,Nat,NZ,Mid,13
800,Nat,NZ,Low,1
801,Phr,AUS,High,9
802,Phr,AUS,Mid,0
803,Phr,AUS,Low,5
804,Nat,AUS,High,11
805,Nat,AUS,Mid,2
806,Nat,AUS,Low,6
807,Nat,NZ,High,22
808,Nat,NZ,Mid,7
809,Nat,NZ,Low,9
810,Nat,NZ,High,36
811,Nat,NZ,Mid,24
812,Nat,NZ,Low,7
813,Phr,NZ,High,11
814,Phr,NZ,Mid,6
815,Phr,NZ,Low,1
816,Nat,NZ,High,9
817,Nat,NZ,Mid,8
818,Nat,NZ,Low,0
819,Sty,CAN,High,13
820,Sty,CAN,Mid,6
821,Sty,CAN,Low,6
822,Nat,CAN,High,5
823,Nat,CAN,Mid,16
824,Nat,CAN,Low,0
825,Sty,AUS,High,11
826,Sty,AUS,Mid,13
827,Sty,AUS,Low,3
828,Nat,AUS,High,9
829,Nat,AUS,Mid,6
830,Nat,AUS,Low,3
831,Phr,NZ,High,8
832,Phr,NZ,Mid,5
833,Phr,NZ,Low,0
834,Nat,NZ,High,11
835,Nat,NZ,Mid,4
836,Nat,NZ,Low,5
837,Phr,CAN,High,10
838,Phr,CAN,Mid,6
839,Phr,CAN,Low,1
840,Nat,CAN,High,14
841,Nat,CAN,Mid,10
842,Nat,CAN,Low,1
843,Nat,CAN,High,14
844,Nat,CAN,Mid,10
845,Nat,CAN,Low,3
846,Nat,US,High,21
847,Nat,US,Mid,10
848,Nat,US,Low,7
849,Phr,NZ,High,12
850,Phr,NZ,Mid,2
851,Phr,NZ,Low,6
852,Nat,NZ,High,12
853,Nat,NZ,Mid,4
854,Nat,NZ,Low,8
855,Nat,NZ,High,35
856,Nat,NZ,Mid,16
857,Nat,NZ,Low,7
858,Par,NZ,High,19
859,Par,NZ,Mid,8
860,Par,NZ,Low,3
861,Nat,NZ,High,10
862,Nat,NZ,Mid,7
863,Nat,NZ,Low,3
864,Phr,CAN,High,15
865,Phr,CAN,Mid,9
866,Phr,CAN,Low,0
867,Nat,CAN,High,20
868,Nat,CAN,Mid,7
869,Nat,CAN,Low,6
873,Par,UK,High,12
874,Par,UK,Mid,13
875,Par,UK,Low,6
876,Nat,UK,High,10
877,Nat,UK,Mid,5
878,Nat,UK,Low,4
882,Par,NZ,High,20
883,Par,NZ,Mid,12
884,Par,NZ,Low,4
885,Nat,NZ,High,17
886,Nat,NZ,Mid,13
887,Nat,NZ,Low,4
891,Par,CAN,High,18
892,Par,CAN,Mid,4
893,Par,CAN,Low,4
894,Nat,CAN,High,11
895,Nat,CAN,Mid,6
896,Nat,CAN,Low,1
897,Nat,UK,High,18
898,Nat,UK,Mid,12
899,Nat,UK,Low,3
900,Sty,NZ,High,21
901,Sty,NZ,Mid,4
902,Sty,NZ,Low,1
903,Nat,NZ,High,17
904,Nat,NZ,Mid,11
905,Nat,NZ,Low,4
909,Par,AUS,High,21
910,Par,AUS,Mid,9
911,Par,AUS,Low,2
912,Nat,AUS,High,9
913,Nat,AUS,Mid,9
914,Nat,AUS,Low,5
915,Sty,CAN,High,12
916,Sty,CAN,Mid,9
917,Sty,CAN,Low,0
918,Nat,CAN,High,11
919,Nat,CAN,Mid,6
920,Nat,CAN,Low,2
921,Phr,UK,High,13
922,Phr,UK,Mid,6
923,Phr,UK,Low,5
924,Nat,UK,High,8
925,Nat,UK,Mid,1
926,Nat,UK,Low,6
927,Par,NZ,High,10
928,Par,NZ,Mid,7
929,Par,NZ,Low,1
930,Nat,NZ,High,13
931,Nat,NZ,Mid,15
932,Nat,NZ,Low,4
933,Sty,US,High,7
934,Sty,US,Mid,2
935,Sty,US,Low,3
936,Nat,US,High,22
937,Nat,US,Mid,3
938,Nat,US,Low,3
939,Phr,NZ,High,26
940,Phr,NZ,Mid,5
941,Phr,NZ,Low,5
942,Nat,NZ,High,18
943,Nat,NZ,Mid,2
944,Nat,NZ,Low,5
945,Sty,NZ,High,12
946,Sty,NZ,Mid,3
947,Sty,NZ,Low,6
948,Nat,NZ,High,7
949,Nat,NZ,Mid,1
950,Nat,NZ,Low,5
951,Phr,AUS,High,16
952,Phr,AUS,Mid,6
953,Phr,AUS,Low,4
954,Nat,AUS,High,12
955,Nat,AUS,Mid,5
956,Nat,AUS,Low,0
960,Par,NZ,High,12
961,Par,NZ,Mid,12
962,Par,NZ,Low,6
963,Nat,NZ,High,11
964,Nat,NZ,Mid,3
965,Nat,NZ,Low,7
966,Sty,AUS,High,17
967,Sty,AUS,Mid,6
968,Sty,AUS,Low,5
969,Nat,AUS,High,9
970,Nat,AUS,Mid,8
971,Nat,AUS,Low,4
972,Sty,CAN,High,7
973,Sty,CAN,Mid,6
974,Sty,CAN,Low,2
975,Nat,CAN,High,9
976,Nat,CAN,Mid,6
977,Nat,CAN,Low,3
978,Phr,UK,High,10
979,Phr,UK,Mid,14
980,Phr,UK,Low,3
981,Nat,UK,High,13
982,Nat,UK,Mid,6
983,Nat,UK,Low,3
984,Nat,NZ,High,16
985,Nat,NZ,Mid,10
986,Nat,NZ,Low,5
990,Par,NZ,High,16
991,Par,NZ,Mid,5
992,Par,NZ,Low,2
993,Nat,NZ,High,10
994,Nat,NZ,Mid,6
995,Nat,NZ,Low,3
996,Sty,AUS,High,5
997,Sty,AUS,Mid,7
998,Sty,AUS,Low,4
999,Nat,AUS,High,17
